restaurant_id,restaurant_name,restaurant_slug,city,item_id,item_name,item_description,item_price,item_currency,item_tags,item_has_options,item_vat_percentage
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,d077218d824bcff2f3a7ed76,Birra Peroni,,23000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,dafc29677980b435e6907a80,Spinaq,,30000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,dfab49f5adc6b105aa65bc88,Fanta,,17000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,dfd4be950997ee9d6cbe022e,Dhallë,,9000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,e6e4165e1ed4c12257b4869d,Pilaf & Fileto Pule & Perime të Ziera,,45000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,e842850259b6f55b04f57f8d,Patate Furre + Fileto Pule + Perime të Ziera,,45000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,e9bb59e70fc76abf93264596,Fërgesë,,25000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,ef5d4d3489243f6bd9ce49ee,Tarator,,20000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,ef7c3f143bc42ba357aff77c,Bamje,,30000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,f01e7d793aad808b618d9773,Pulë Fshati me Qullë,,40000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,f27dd162d91c96fd436967f2,Pulë Furre,,75000,ALL,,False,20
